gross_return,transaction_cost,net_return,turnover,long_exposure,short_exposure,gross_exposure,net_exposure,benchmark_return,cumulative_gross,cumulative_net,cumulative_benchmark
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005961459399410618,0.0033357346609947935,0.00289445786364384,0.08536458083078124
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002474989936108618,0.0033357346609947935,0.00289445786364384,0.0826783144162162
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004640665822773338,0.0033357346609947935,0.00289445786364384,0.08770266266698545
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008689100750999268,0.0033357346609947935,0.00289445786364384,0.08675754686468107
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028837755408868126,0.0033357346609947935,0.00289445786364384,0.08989151169720366
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005157650476568132,0.0033357346609947935,0.00289445786364384,0.08427023222249108
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018810258335995034,0.0033357346609947935,0.00289445786364384,0.08630977253990446
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022439231768132117,0.0033357346609947935,0.00289445786364384,0.08874736821570539
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014621553656507524,0.0033357346609947935,0.00289445786364384,0.08715545040943073
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.573307926691861e-05,0.0033357346609947935,0.00289445786364384,0.08710573144304168
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020134647136049733,0.0033357346609947935,0.00289445786364384,0.08929458047325989
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0051148335888194785,0.0033357346609947935,0.00289445786364384,0.08372301996493614
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006885891717723913,0.0033357346609947935,0.00289445786364384,0.08297678002818776
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018833425257550607,0.0033357346609947935,0.00289445786364384,0.08093716380395533
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004924328580606652,0.0033357346609947935,0.00289445786364384,0.08626005357351496
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016486563901140228,0.0033357346609947935,0.00289445786364384,0.08446918399486547
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002844014299025255,0.0033357346609947935,0.00289445786364384,0.08138493812873193
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5977121222895434e-05,0.0033357346609947935,0.00289445786364384,0.08143465709512099
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004508007407380887,0.0033357346609947935,0.00289445786364384,0.08630977253990424
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030224100236626583,0.0033357346609947935,0.00289445786364384,0.08959304608523144
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.133119925319733e-05,0.0033357346609947935,0.00289445786364384,0.0894935322456345
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002283000833481985,0.0033357346609947935,0.00289445786364384,0.08700621760344451
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023934812406832262,0.0033357346609947935,0.00289445786364384,0.060988927700045714
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014347325469371563,0.0033357346609947935,0.00289445786364384,0.07621128116515785
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014375523079394936,0.0033357346609947935,0.00289445786364384,0.060740181054462994
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00037519032339572433,0.0033357346609947935,0.00289445786364384,0.060342201602894274
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009992985896339901,0.0033357346609947935,0.00289445786364384,0.0709381862688061
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00887218354208319,0.0033357346609947935,0.00289445786364384,0.06143662611800349
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018750783070453636,0.0033357346609947935,0.00289445786364384,0.061635653797197154
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68324195888048e-05,0.0033357346609947935,0.00289445786364384,0.06168537276358621
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011245474537833866,0.0033357346609947935,0.00289445786364384,0.07362452859018975
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006301479498698415,0.0033357346609947935,0.00289445786364384,0.0803899515464006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005479267072237448,0.0033357346609947935,0.00289445786364384,0.07447020645971625
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008102226748891828,0.0033357346609947935,0.00289445786364384,0.06576460521205107
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00620799942565875,0.0033357346609947935,0.00289445786364384,0.07238087126909498
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00496354793837539,0.0033357346609947935,0.00289445786364384,0.07770368513183601
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009047298372365287,0.0033357346609947935,0.00289445786364384,0.06795337833545068
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007546163737871758,0.0033357346609947935,0.00289445786364384,0.07601232939278324
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024040881420446247,0.0033357346609947935,0.00289445786364384,0.07342550091099631
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005097813095460868,0.0033357346609947935,0.00289445786364384,0.06795337833545068
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044252479944231204,0.0033357346609947935,0.00289445786364384,0.07267933688106698
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006956077219675283,0.0033357346609947935,0.00289445786364384,0.07342550091099653
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034294443291796872,0.0033357346609947935,0.00289445786364384,0.06974424791410039
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005208381747325852,0.0033357346609947935,0.00289445786364384,0.07531588432924297
